1200
id, time
64, 21601
229, 21675
257, 21704
18, 21705
205, 21830
12, 21865
143, 21894
190, 21908
16, 21947
95, 21956
44, 21977
19, 22034
151, 22062
295, 22071
148, 22117
285, 22137
277, 22142
285, 22147
134, 22224
44, 22229
35, 22245
247, 22437
190, 22525
8, 22579
196, 22597
11, 22620
223, 22639
268, 22650
230, 22698
133, 22711
141, 22718
261, 22739
180, 22744
104, 22762
257, 22847
288, 22908
1, 22938
35, 22957
134, 22963
151, 23049
141, 23059
224, 23071
258, 23111
116, 23177
81, 23231
210, 23239
174, 23267
31, 23268
162, 23289
90, 23360
252, 23390
299, 23490
249, 23497
163, 23501
119, 23556
3, 23562
2, 23580
136, 23620
148, 23640
88, 23678
48, 23748
84, 23778
63, 23807
271, 23817
199, 23832
219, 23843
70, 23895
66, 23955
263, 23980
85, 23995
116, 24004
252, 24073
186, 24103
121, 24134
143, 24155
286, 24179
2, 24247
154, 24287
67, 24302
285, 24345
34, 24414
268, 24423
138, 24433
196, 24473
22, 24489
168, 24497
256, 24497
68, 24511
154, 24522
285, 24530
63, 24544
95, 24562
249, 24571
219, 24684
37, 24696
138, 24736
52, 24739
247, 24758
63, 24791
223, 24792
21, 24822
264, 24825
87, 24842
87, 24859
292, 24862
185, 24891
272, 24939
258, 24940
195, 24967
75, 24986
82, 24999
26, 25028
228, 25038
56, 25050
276, 25054
148, 25090
292, 25174
187, 25178
60, 25257
129, 25275
64, 25288
214, 25387
205, 25406
172, 25408
297, 25438
287, 25479
150, 25484
1, 25542
273, 25569
68, 25615
254, 25616
234, 25645
191, 25665
171, 25675
292, 25702
95, 25706
149, 25709
95, 25720
115, 25733
92, 25738
269, 25752
83, 25781
158, 25796
68, 25813
176, 25832
243, 25837
144, 25858
187, 25869
176, 25898
65, 25903
280, 25921
28, 25923
246, 25928
96, 25967
74, 25975
129, 25988
124, 26011
268, 26023
249, 26044
286, 26053
198, 26078
150, 26161
234, 26173
63, 26188
153, 26190
124, 26211
184, 26218
234, 26257
52, 26297
228, 26305
297, 26317
117, 26320
283, 26336
229, 26340
154, 26343
237, 26379
117, 26402
55, 26410
184, 26414
214, 26426
202, 26457
82, 26461
73, 26471
35, 26525
59, 26562
277, 26587
57, 26600
36, 26631
192, 26646
153, 26651
230, 26655
44, 26684
76, 26710
73, 26720
64, 26762
178, 26768
171, 26770
200, 26774
54, 26812
265, 26907
292, 26961
67, 26978
44, 26980
210, 27012
49, 27016
299, 27021
8, 27036
116, 27086
265, 27130
32, 27131
281, 27164
131, 27186
115, 27211
182, 27211
275, 27237
188, 27240
252, 27242
273, 27278
23, 27332
188, 27408
41, 27419
276, 27442
70, 27453
75, 27461
148, 27463
280, 27469
86, 27505
209, 27517
58, 27531
233, 27534
201, 27537
203, 27582
266, 27586
278, 27592
290, 27592
216, 27602
131, 27690
216, 27702
101, 27708
284, 27754
257, 27793
255, 27796
88, 27797
0, 27856
6, 27887
80, 27893
264, 27903
58, 27918
187, 27937
145, 27950
37, 27958
228, 27968
222, 28010
163, 28027
15, 28030
267, 28046
127, 28077
297, 28107
125, 28139
140, 28166
111, 28174
210, 28199
137, 28203
161, 28210
283, 28224
53, 28230
252, 28237
182, 28249
240, 28254
7, 28261
174, 28264
218, 28282
13, 28305
97, 28306
204, 28312
24, 28358
27, 28361
242, 28362
187, 28371
174, 28387
207, 28387
248, 28397
107, 28441
37, 28446
261, 28492
27, 28515
26, 28543
217, 28641
160, 28655
93, 28683
175, 28697
69, 28705
283, 28711
118, 28728
296, 28732
74, 28741
289, 28750
5, 28780
94, 28782
178, 28799
165, 28819
134, 28825
283, 28828
52, 28834
289, 28846
214, 28864
193, 28865
109, 28915
255, 28915
98, 28926
99, 28939
43, 28962
10, 28965
141, 28978
100, 28996
240, 29017
243, 29025
196, 29035
239, 29042
93, 29088
207, 29126
296, 29149
210, 29175
230, 29177
282, 29237
183, 29242
260, 29270
60, 29284
100, 29287
180, 29304
255, 29316
22, 29331
116, 29333
102, 29334
142, 29336
87, 29338
74, 29345
221, 29354
122, 29390
140, 29405
234, 29412
151, 29440
23, 29443
121, 29488
171, 29503
2, 29506
45, 29525
9, 29527
